time_s,energy,centroid,onset,harm_flux,perc_onset,melody_f0,contrast
58.50,0.16086,2348.69319,153.43612,0.13033,255.46082,889.32129,3.65476
59.00,0.13133,2431.60660,113.23267,0.23667,180.39502,594.31641,3.65391
59.50,0.13295,2123.68390,135.09964,0.25650,192.60659,499.57031,3.55643
60.00,0.11923,1770.64169,90.62179,0.21582,128.82909,482.34375,3.91664
60.50,0.13146,2287.53919,136.66946,0.29985,283.00775,406.97754,3.32738
61.00,0.14030,2132.12898,129.82403,0.21740,201.69746,398.36426,2.89367
61.50,0.17448,2238.97740,94.22533,0.08246,141.49732,648.14941,2.25837
62.00,0.15402,1896.03090,159.52870,0.13686,183.59764,783.80859,3.01317
62.50,0.17807,1391.74389,169.19654,0.12953,160.80600,538.33008,3.32376
63.00,0.14186,2012.71948,124.12433,0.12582,321.47611,103.35938,2.69960
63.50,0.11763,2785.38597,116.27454,0.11733,457.38805,269.16504,2.77970
64.00,0.17350,1988.65358,137.68808,0.13107,170.39253,394.05762,2.88859
64.50,0.17633,1753.65900,172.65484,0.20022,212.17850,376.83105,2.92646
65.00,0.12107,2076.28692,115.92443,0.20183,240.52045,428.51074,3.20203
65.50,0.15771,2422.41270,153.99654,0.20127,322.52888,503.87695,2.93611
66.00,0.19072,1762.93753,203.80621,0.23862,255.57308,506.03027,3.17540
66.50,0.13832,1797.99203,115.96173,0.20593,191.99644,587.85645,3.28490
67.00,0.12096,2294.93831,121.87377,0.21260,236.98831,486.65039,3.25687
67.50,0.18438,1783.65686,179.44085,0.20392,185.80222,297.15820,3.35138
68.00,0.20537,1689.44742,153.28160,0.11879,176.31403,566.32324,3.02772
68.50,0.15003,2285.45789,88.53024,0.12927,321.34768,788.11523,3.06870
69.00,0.17211,1926.64530,185.56097,0.12465,264.57893,648.14941,3.41270
69.50,0.16653,1405.39748,138.97070,0.16430,208.61695,241.17188,3.16598
70.00,0.08951,2297.23523,83.42064,0.11611,198.17053,267.01172,2.68005
70.50,0.14357,2256.74055,131.26120,0.20290,295.07691,546.94336,3.05767
71.00,0.18101,2212.93470,197.18182,0.19883,230.75765,320.84473,2.94480
71.50,0.16747,1997.59108,188.60343,0.23588,299.89864,854.86816,3.12592
72.00,0.15493,2152.17005,113.17624,0.20533,309.96056,818.26172,3.09239
72.50,0.17456,1858.03845,181.95009,0.26439,281.61314,542.63672,2.96705
73.00,0.18026,2567.79492,164.30428,0.19367,263.84136,518.95020,2.99952
73.50,0.14214,1817.85901,117.18114,0.23034,152.67479,618.00293,3.24538
74.00,0.16593,2331.96154,167.13517,0.13159,256.14100,221.79199,2.86644
74.50,0.17384,1352.79270,159.25240,0.15376,141.11494,254.09180,3.23925
75.00,0.11386,2169.09025,69.96604,0.14561,362.50514,256.24512,2.82831
75.50,0.13246,1517.72054,113.16452,0.12312,148.65058,256.24512,3.12671
76.00,0.16689,1187.17682,125.34316,0.13013,59.13372,174.41895,3.18365
76.50,0.09933,1782.00360,72.73768,0.12030,151.44016,206.71875,2.91586
77.00,0.13925,2169.85283,98.85499,0.15756,252.95866,486.65039,3.37327
77.50,0.20040,1821.46150,215.48985,0.21534,406.59799,411.28418,3.05928
78.00,0.15999,1952.60457,164.37806,0.29041,222.21104,320.84473,3.11256
78.50,0.15168,2022.63737,135.19629,0.21827,271.10932,704.13574,3.21866
79.00,0.19102,1889.81559,194.26712,0.20735,278.67290,426.35742,3.50113
79.50,0.18284,1761.45309,157.94411,0.16817,198.45155,555.55664,3.47525
80.00,0.12870,2225.53500,113.08703,0.18656,326.52500,592.16309,3.06049
80.50,0.15747,1759.76168,172.95363,0.18549,198.95157,297.15820,3.22952
81.00,0.18081,2022.94084,146.34423,0.17460,282.97877,355.29785,3.10772
81.50,0.16597,1869.67340,110.00017,0.10909,180.26722,706.28906,3.11616
82.00,0.14883,1899.56426,92.18914,0.06060,146.95411,783.80859,3.33032
82.50,0.19730,1510.36507,203.94262,0.13567,187.28111,508.18359,3.27884
83.00,0.17325,1934.65607,155.86356,0.20739,234.76880,889.32129,3.34386
83.50,0.15666,2159.04169,177.50600,0.28995,382.68147,385.44434,3.00308
84.00,0.13874,2182.65117,148.64077,0.28413,248.87583,607.23633,2.94289
84.50,0.16660,2327.13089,125.03462,0.14833,288.53660,374.67773,2.76313
85.00,0.12808,2369.66852,131.39089,0.17138,208.68597,553.40332,2.69189
85.50,0.16182,1772.79490,175.17291,0.20828,142.39967,417.74414,3.15784
86.00,0.18535,2451.85475,184.48876,0.17755,324.77176,387.59766,2.83379
86.50,0.10982,2223.18261,81.88307,0.13940,218.37791,490.95703,3.13995
87.00,0.11634,2203.17648,94.51913,0.11676,375.62521,303.61816,2.97844
87.50,0.20006,1595.13563,222.21943,0.28374,134.81849,523.25684,3.25925
88.00,0.12652,1806.74857,103.50883,0.15812,146.29315,447.89062,3.19599
88.50,0.13153,2305.11529,121.99145,0.18658,255.87454,469.42383,3.06840
